,Name
0,图玛深维
1,众趣科技
2,
3,智能一点
4,
5,
6,
7,
8,
9,赫德福特大学Adaptive Systems组
10,ADEPT 系统
11,
12,
13,
14,
15,
16,
17,
18,思必驰
19,爱笔智能
20,
21,
22,
23,ALGLIB项目
24,
25,Alphabet
26,
27,
28,
29,
30,
31,Apache软件基金会
32,
33,
34,
35,亚利桑那州立大学生物医疗信息实验室
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,Ascribe
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,佛莱堡大学的Autonomous Intelligent Systems研究组
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,百分点集团
69,
70,
71,天云大数据
72,交通数据分析与挖掘北京市重点实验室(北京交通大学)
73,智能通信软件与多媒体北京市重点实验室
74,
75,
76,
77,
78,
79,
80,
81,
82,大数据系统软件国家工程实验室
83,
84,
85,BitProof
86,黑芝麻
87,
88,
89,
90,波士顿大学计算机科学
91,
92,
93,
94,
95,
96,今日头条
97,天瞳威视
98,寒武纪
99,
100,
101,加拿大高级研究中心
102,
103,
104,机器学习部门（卡耐基梅隆大学）
105,
106,
107,
108,
109,
110,
111,
112,
113,芯仑光电
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,CIFAR机器和大脑学习项目
127,
128,
129,
130,
131,
132,云脑科技
133,达闼科技
134,云从科技
135,
136,
137,库柏特科技
138,
139,认证系统实验室，加州大学洛杉矶分校
140,
141,合刃科技
142,
143,
144,Colu
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,麻省理工学院计算机科学与人工智能实验室
162,
163,
164,
165,
166,
167,
168,
169,计算机科学，佛罗里达大学
170,
171,
172,
173,
174,计算机视觉研究，微软
175,
176,
177,
178,
179,计算机科学，康奈尔大学，康奈尔大学
180,
181,
182,
183,氪信
184,
185,
186,
187,清华大学智能技术与系统国家重点实验室
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,达观数据
202,
203,
204,
205,
206,
207,
208,神目
209,
210,
211,
212,深鉴科技
213,
214,深动科技
215,
216,七炅信息科技
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,多伦多大学数学系
229,
230,
231,
232,
233,
234,
235,放送科学基礎研究所，NHK
236,
237,
238,
239,
240,
241,
242,
243,
244,一飞智控
245,
246,
247,
248,大象声科
249,
250,
251,
252,竹间智能
253,
254,
255,
256,
257,
258,
259,
260,
261,极视角
262,旷视
263,
264,
265,人人智能
266,
267,
268,
269,
270,
271,
272,灵动科技
273,
274,
275,知识和数据研究中心（KRDB），Bozen-Bolzano自由大学
276,复旦大学
277,
278,
279,
280,
281,极验
282,
283,
284,
285,
286,
287,哥廷根大学数学系
288,谷歌自然语言理解
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,中译语通
309,
310,好买衣虚拟试衣
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,海康威视
321,
322,
323,
324,地平线
325,
326,华为诺亚方舟
327,汇医慧影
328,
329,
330,
331,人机交互（HCI）和社交计算，康奈尔科技
332,
333,
334,乔治亚理工辅助机器人研究室
335,海云数据
336,
337,
338,
339,
340,
341,
342,
343,碳云智能
344,冰鉴科技
345,
346,
347,
348,
349,科大讯飞
350,
351,
352,
353,
354,
355,帝国理工学院Hamlyn研究中心
356,
357,
358,工业工程与运营研究|伯克利工程
359,西北大学工业工程与管理科学
360,推想科技
361,
362,
363,
364,智能技术与系统国家重点实验室信息检索课题组
365,
366,
367,信息协会网
368,
369,
370,
371,
372,
373,
374,
375,
376,约翰内斯开普勒大学林茨生物信息学研究所
377,
378,
379,
380,
381,
382,英特尔
383,南加州大学interaction实验室
384,
385,
386,
387,
388,潘帕斯
389,
390,中科虹霸
391,
392,
393,
394,京东金融
395,今日头条人工智能实验室
396,约翰霍普金斯大学
397,
398,
399,
400,中国科学院计算机科学重点实验室
401,
402,
403,开为科技
404,
405,
406,基于知识的系统（KBS）小组，奥斯纳布吕克大学
407,
408,
409,快手科技
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,来也
420,
421,
422,学习代理中心 - 乔治梅森大学
423,
424,
425,
426,
427,镭神智能
428,
429,
430,连心医疗
431,
432,
433,
434,
435,
436,洛斯阿拉莫斯国家实验室
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,码隆科技
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,医咖会
461,
462,
463,
464,微软亚洲研究院自然语言计算组
465,
466,
467,
468,
469,微软亚洲研究院
470,
471,
472,
473,
474,
475,佑驾创新
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,出门问问
497,
498,初速度
499,信息技术|莫纳什大学| monash.edu
500,蓦然认知
501,深圳大学 多维信号处理研究所
502,
503,MSR 印度
504,MSRA理论小组
505,
506,
507,
508,新加坡南洋理工大学电气电子工程(Electrical & Electronic Engineering)研究中心
509,國立臺灣大學資訊網路與多媒體研究所
510,
511,
512,
513,奇点机智
514,
515,
516,NELL: Never-Ending语言学习研究项目
517,网易
518,
519,
520,Neuroimaging，IBM
521,
522,
523,
524,
525,
526,
527,清华大学自然语言处理与社会人文计算实验室
528,
529,
530,﻿异构智能
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,
541,
542,
543,OpenAI
544,
545,
546,
547,
548,
549,
550,牛津大学
551,普强信息
552,
553,
554,智慧芽
555,
556,
557,
558,平安科技
559,圆周率
560,北京大学 汤超实验室
561,
562,
563,
564,小马智行
565,拍拍贷
566,普林斯顿大学数学系
567,
568,
569,
570,
571,速感科技
572,
573,
574,阅面科技
575,
576,
577,驭光科技
578,
579,
580,
581,
582,
583,
584,南京大学 计算机科学与技术系 机器人智能与神经计算研究组
585,
586,速腾聚创
587,翼菲自动化
588,智能管家
589,
590,
591,
592,
593,
594,
595,
596,北京大学信息科学技术学院
597,
598,
599,
600,
601,
602,商汤科技
603,上海交通大学
604,
605,
606,
607,
608,
609,Skuchain
610,SLAC国家加速器实验室
611,思岚科技
612,智齿客服
613,
614,Yale大学社会机器人研究室
615,
616,搜狗
617,SOINN株式会社
618,声智科技
619,
620,势必可赢
621,
622,
623,
624,
625,
626,
627,SRI国际AI中心
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,斯坦福大学工程学院
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,计算机科学国家重点实验室
650,计算机软件新技术国家重点实验室(南京大学)
651,
652,
653,
654,剑桥大学统计实验室
655,
656,
657,
658,
659,
660,
661,
662,
663,
664,
665,机器之心
666,
667,
668,斯坦福大学系统优化实验室（SOL）
669,
670,
671,
672,第四范式
673,
674,
675,
676,
677,
678,
679,
680,
681,
682,
683,
684,
685,
686,
687,
688,
689,
690,
691,
692,
693,
694,
695,熠知电子
696,
697,钛米机器人
698,名古屋工业大学德田实验室
699,同盾科技
700,
701,触宝
702,
703,
704,三角兽科技
705,
706,清华大学
707,
708,图普科技
709,图森未来
710,
711,Uber AI实验室
712,优必选科技
713,
714,
715,
716,
717,
718,
719,
720,
721,
722,
723,
724,
725,
726,
727,
728,优达学城
729,
730,蒙特利尔大学计算机科学与运筹学系
731,
732,云知声
733,
734,
735,
736,
737,
738,
739,
740,伊利诺伊大学电气与计算机工程系
741,
742,
743,
744,
745,
746,多伦多大学计算机科学系
747,
748,
749,
750,
751,
752,向量学院
753,极链网络科技
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,Visual Geometry Group，牛津大学
764,视觉合成图形图像技术重点学科实验室
765,伟景智能
766,体素科技
767,
768,
769,
770,水岩科技
771,
772,
773,网络搜索和数据管理，微软
774,智言科技
775,西井科技
776,
777,
778,
779,小白世纪
780,小i机器人
781,晶泰科技
782,
783,
784,
785,
786,
787,图灵通诺
788,义语智能科技
789,依图科技
790,一知智科
791,乂学教育
792,语知科技
793,浙江大学图形与并行系统实验室
794,北京大学机器感知与智能教育部重点实验室
795,Tokyo Institute of Technology O.Hasegawa Lab
796,火星盒子
797,火灾科学国家重点实验室
798,快商通
799,
800,
801,"中科院西安光学精密机械研究所,光学影像分析与学习中心"
0,12 Sigma technoloies
1,3dnest
2,51VR
3,A Bit AI
4,Aalto University - Data mining group
5,ABB
6,Abbyy
7,ACL community
8,Adaptive Systems and Interaction Group - Microsoft Research
9,Adaptive Systems Research Group @ University of Hertfordshire
10,ADEPT System
11,ADOBE ACROBAT DC
12,"Advanced Agent-Robotics Technology Lab, CMU"
13,Advanced Digital Sciences Center (ADSC)
14,Advanced Image Enhancement(AIE)
15,"Agents Group, University of Edinburgh"
16,"AI Lab, Stanford"
17,AI solutions - Microsoft AI
18,AI Speech
19,Aibee
20,"AIM Lab, University of Oregon"
21,Alberta Reinforcement Learning and Artificial Intelligence
22,Alexa amazon
23,ALGLIB Project
24,Algorithms and Theory - IBM Research
25,Alphabet
26,Amazon ML Solutions Lab
27,American Academy of Arts and Sciences
28,American Statistical Association
29,AMS (the American Mathematical Society)
30,Analysis and Experimentation team at Microsoft's Artificial Intelligence and Research group
31,Apache Software Foundation
32,Apple - Siri
33,Argonne National Laboratory
34,"Aristo Research, Allen Institute for Artificial Intelligence"
35,Arizona State University - Department of Biomedical Informatics
36,"Artificial Intelligence (AI) Group, UWaterloo"
37,"Artificial Intelligence and Machine Learning, University of Oxford"
38,Artificial Intelligence Center @ SRI
39,Artificial Intelligence Group UCSD
40,"Artificial Intelligence Group, Jet Propulsion Laboratory"
41,Artificial Intelligence in University of Toronto
42,"Artificial Intelligence Lab, University of Michigan"
43,"Artificial Intelligence Professional Interest Community, IBM Research"
44,"Artificial Intelligence, Microsoft Research"
45,"Artificial Intelligence, Microsoft Research Asia"
46,"Artificial Intelligence,Department of computer science, the university of Toronto"
47,Ascribe
48,Aspuru-Guzik Research Group
49,Association for the Advancement of Artificial Intelligence
50,AT & T Video and media analytics
51,AT&T Labs - Statistics Research Department
52,AT&T Labs Research
53,augmented reality - Research — MIT Media Lab
54,Augmented Reality Lab
55,Australian Centre for Field Robotics - The University of Sydney
56,"Autonomous Agents and Distributed Intelligence Laboratory, Oregon State University"
57,Autonomous Intelligent Systems - University of Freiburg
58,"Autonomous Learning Laboratory, University of Massachusetts Amherst"
59,Autonomous Space Robotics Lab (ASRL) at the University of Toronto
60,Autonomous System Lab
61,"Autonomous Systems Lab (ASL), ETH"
62,"Autonomous Vision Group, University of Tübingen"
63,AVRspot
64,AYLIEN
65,Babson College Launches IoT For Good Lab
66,Baidu Research | Artificial Intelligence | Deep Learning | Image
67,Baidu Robotics and Autonomous Driving Lab
68,BAIFENDIAN
69,BayesiaLab
70,Bayesian Intelligence
71,BeagleData
72,Beijing Jiaotong University - Beijing Key Laboratory of Traffic Data Analysis and Mining
73,Beijing Key Lab of Intelligent Telecommunication Software and Multimedia
74,Bell Labs
75,"Bell Labs' Holmdel Complex: Closing the Idea Factory/AT&T Bell Labs,"
76,Berkeley Artificial Intelligence Research Lab(BAIR)
77,Berkeley Laboratory for Automation Science and Engineering
78,Berkeley NLP Group
79,Berkeley Statistics Memorium
80,Berkeley Wireless Research Center(BWRC)
81,Bielefeld University - Department of Bio-Cybernetics
82,Big Data System Software National Engineering Laboratory
83,"Bioinformatics Laboratory, University of Ljubljana"
84,Biomedical Informatics and Medical Education
85,BitProof
86,Black Sesame Technology
87,Bloomsbury AI
88,"Bogazici University - Artificial Intelligence Lab, Computer Engineering"
89,Boston Dynamics
90,Boston University - Computer science
91,Boston University - Department of Cognitive and Neural Systems
92,Brain & Cognitive Sciences : University of Rochester
93,Brain Mind Institute (BMI)
94,Brno University of Technology
95,Business Intelligence Solutions
96,Bytedance
97,CalmCar
98,Cambricon
99,Cambridge Machine Learning Group
100,Cambridge Social Ontology Group
101,Canadian institute for advanced research
102,Canadian Institute for Advanced Research(CIFAR )
103,Carnegie Mellon University - Database Group
104,Carnegie Mellon University - Machine Learning Department
105,Carnegie Mellon University - PARALLEL DATA LAB
106,Carnegie Mellon University - Read the web
107,Carnegie Mellon University - Robotics Institute PhD Program
108,Carnegie Mellon University - Statistics and Machine Learning Research Group
109,Case Western University BioRobots
110,Caspar
111,CBCSL
112,"CCRG Group, University of Memphis"
113,Celepixel
114,Center for Biological & Computational Learning (CBCL)
115,Center for Cosmology and Particle Physics
116,"Center for Human Compatible Artificial Intelligence (CHCAI), UC Berkley"
